#IsoDatetime,EA kWhd,EM,NE,NO,NT,NW,SC,SE,SO,SW,WM,WN,WS,,EA avg,EA mmscfd,,Total,max(total),,min(total),,avg(total,,Total mmscfd
2015-11-08T00:00:00,19523347,23248669,24247421,21726349,3742967,37162626,20171379,25827421,10457359,6611787,10689741,3202708,18550856,,15800756.39,52.44271047,,225162630,336698043,1117.500805,164630727,546.4093829,248520700.9,824.8402064,747.314769
2015-11-09T00:00:00,20408732,27817994,27006495,22383095,6468751,38889293,20953902,26315565,9718812,8140989,13272886,3318253,19546064,,,,,244240831,,,,,,,810.6353181
2015-11-10T00:00:00,20145587,29405391,26776959,23304176,6628612,36953057,20500252,25862969,8048235,7540748,13491623,3386132,19547380,,,,,241591121,,,,,,,801.8409306
2015-11-11T00:00:00,20607862,29611855,27839009,24174909,6511382,41052093,20813263,26673920,8377750,7978947,14047291,3710198,18211299,,,,,249609778,,,,,,,828.4548532
2015-11-12T00:00:00,21515108,30747183,27252836,23818526,6150781,40560489,22107386,26423253,8781914,8027037,14034235,3985279,21924300,,,,,255328327,,,,,,,847.4347173
2015-11-13T00:00:00,22107294,27588801,27049924,23965010,5890164,40415749,22193260,28609362,9231687,8381695,14333440,3826824,16336643,,,,,249929853,,,,,,,829.5171821
2015-11-14T00:00:00,20198182,24113486,24914998,20661752,3475759,37543056,22410912,27068505,9148226,7400005,11564100,3449945,21197823,,,,,233146749,,,,,,,773.8140599
2015-11-15T00:00:00,19847159,23532558,24389590,20175127,3355105,37447191,20866117,26749586,12485600,6986967,10495281,2936351,15475833,,,,,224742465,,,,,,,745.9202413
2015-11-16T00:00:00,21066162,28642646,28467190,22893235,6293770,40406247,22587941,28335111,16944876,8831989,13327472,3087816,19232464,,,,,260116919,,,,,,,863.3280542
2015-11-17T00:00:00,21335318,29125017,29441729,23838856,6342796,38525817,24683145,28326756,16635263,9617967,14223485,3767356,17994909,,,,,263858414,,,,,,,875.7460761
2015-11-18T00:00:00,21014499,29854707,29495859,23973804,6684112,40543044,24334914,26831973,16380012,7731910,14735583,3462614,14701158,,,,,259744189,,,,,,,862.0909633
2015-11-19T00:00:00,20891962,28829138,29992830,22842633,6538753,40958518,25161209,26634027,18135215,8403258,15126870,3656946,19855953,,,,,267027312,,,,,,,886.2636485
2015-11-20T00:00:00,21325554,26302885,28279802,23366712,6135326,39628214,24896807,28138705,18131036,8849456,14920801,3659282,26932496,,,,,270567076,,,,,,,898.0121252
2015-11-21T00:00:00,21237523,23529967,26535635,20916547,4264026,37475283,24026317,29295727,16857433,8327678,13936627,3725623,16791039,,,,,246919425,,,,,,,819.5255716
2015-11-22T00:00:00,21810437,22881860,26212708,20894153,4600048,40087295,23544485,28406155,17305749,8579109,12708010,3525585,14491538,,,,,245047132,,,,,,,813.3114311
2015-11-23T00:00:00,22311791,28783285,31232312,24202646,7297271,43687068,24585101,29732874,17531680,9571060,15411325,3920510,14075660,,,,,272342583,,,,,,,903.905033
2015-11-24T00:00:00,22002076,30208877,29074858,23398211,7152396,44847052,26050853,28647631,16424685,9224345,15855641,4012580,26680458,,,,,283579663,,,,,,,941.2009015
2015-11-25T00:00:00,21949437,29828594,26947601,24547056,7551043,43816256,26758316,28482915,16101560,8720871,15913758,4098420,17014194,,,,,271730021,,,,,,,901.8719397
2015-11-26T00:00:00,21372472,29150809,24889492,24114473,7272549,40977617,24726639,27588530,15643312,8708077,15801696,3965901,26252246,,,,,270463813,,,,,,,897.6693953
2015-11-27T00:00:00,20642227,25783006,22867383,24377167,6382684,39038749,23832635,27982976,16069661,8232634,14593253,4291610,14896385,,,,,248990370,,,,,,,826.399038
2015-11-28T00:00:00,19739779,22712914,21063800,22107347,4227857,38340109,23280211,27168529,14531891,7704218,12525468,4155723,20807210,,,,,238365056,,,,,,,791.1336209
2015-11-29T00:00:00,19932935,22923519,20314799,22027535,4141131,37568793,24017204,26866426,14618153,7579534,11932611,4249160,19572753,,,,,235744553,,,,,,,782.4361714
2015-11-30T00:00:00,21353149,29348016,24303190,26049972,7272956,40379863,25066691,28160155,15339319,9194593,14492631,3083863,18465293,,,,,262509691,,,,,,,871.2696644
2015-12-01T00:00:00,20764052,30146355,23552284,24559655,7085680,39840515,25138456,26639729,14683256,9318569,14578390,2690324,17804439,,,,,256801704,,,,,,,852.3248556
2015-12-02T00:00:00,21105041,29608143,23272334,25143022,7176183,38322791,24708067,23151276,15980542,8105506,15024762,2999689,18331013,,,,,252928369,,,,,,,839.4692567
2015-12-03T00:00:00,21560673,28945772,25443355,24765160,6753830,38886628,25077124,27762689,16238240,8621651,13760236,4301748,16810753,,,,,258927859,,,,,,,859.381564
2015-12-04T00:00:00,20676134,25923318,25045062,24640774,6435052,38549782,24037501,28139442,17226326,8779698,13977269,4090458,18263101,,,,,255783917,,,,,,,848.9468205
2015-12-05T00:00:00,19016394,22760891,23495938,21658427,3937444,35356885,23205497,27053670,15226676,7417502,11625100,4048198,20493322,,,,,235295944,,,,,,,780.9472381
2015-12-06T00:00:00,19212448,23377581,23603362,21964776,3654789,37070161,23938318,25907291,14898936,7762603,11553332,3731772,24883980,,,,,241559349,,,,,,,801.7354793
2015-12-07T00:00:00,21085457,28953796,27060123,24878846,6813726,37957372,24355637,26821486,17354734,8244644,13803370,3889168,23315734,,,,,264534093,,,,,,,877.9886547
2015-12-08T00:00:00,21462294,30527419,27369702,25123353,7314815,37931388,25762813,21461364,19892275,8598096,15334870,4317448,19404996,,,,,264500833,,,,,,,877.8782647
2015-12-09T00:00:00,21581383,29799792,28126523,25242504,7287491,37235210,25754262,14824706,19234231,8550560,15628698,4088381,20717581,,,,,258071322,,,,,,,856.5387177
2015-12-10T00:00:00,20482438,28015098,27432593,24952168,6848625,39398631,27755477,16075123,17968052,9064312,15313860,4308363,22611382,,,,,260226122,,,,,,,863.6904989
2015-12-11T00:00:00,21193598,26201287,27542284,25458813,6523934,37019248,25305624,16383496,18006082,8633361,14781587,4330527,20906861,,,,,252286702,,,,,,,837.3395639
2015-12-12T00:00:00,19959857,23493921,24514444,22351275,4160980,32989430,25184002,15134579,16144400,6670049,12216769,4149877,22908322,,,,,229877905,,,,,,,762.9647667
2015-12-13T00:00:00,20304748,24606411,25329077,23297277,4510491,35137595,24698758,17912668,15732699,7056537,12043804,4126782,19872012,,,,,234628859,,,,,,,778.733183
2015-12-14T00:00:00,21521180,29209855,27502790,26044706,6928825,37428867,24825135,28491221,16547883,8486028,14332727,3939406,19897824,,,,,265156447,,,,,,,880.0542476
2015-12-15T00:00:00,21461782,28026231,27577053,26665635,6512802,37789729,22158778,28405700,14256264,8954906,14889501,3937383,16323903,,,,,256959667,,,,,,,852.8491348
2015-12-16T00:00:00,20928986,26544964,26494261,24681432,5741852,34973746,20951073,27486195,15293594,7685196,13595034,3912705,21145414,,,,,249434452,,,,,,,827.8729462
2015-12-17T00:00:00,21234547,26878024,25978985,24880879,5665045,33862186,22791038,27683772,17470693,8769543,13774727,4497536,17994611,,,,,251481586,,,,,,,834.6673839
2015-12-18T00:00:00,20378198,24743591,25179474,23338006,5370524,32093834,21672964,27630730,16172723,7890506,13052785,3679885,14571507,,,,,235774727,,,,,,,782.5363189
2015-12-19T00:00:00,18915840,20365669,23336665,20672034,3870221,29805565,21352864,25999778,15328126,6503521,10966265,2908213,17638484,,,,,217663245,,,,,,,722.4243102
2015-12-20T00:00:00,19726443,21364488,22805390,21147537,3653135,31151758,20655450,26670566,18506114,6917788,10471510,3424230,14753025,,,,,221247434,,,,,,,734.3202334
2015-12-21T00:00:00,20913266,23680684,25068449,22631740,6496939,36412024,18955677,27745406,19543722,7359587,12800510,2917437,24375834,,,,,248901275,,,,,,,826.1033317
2015-12-22T00:00:00,19366215,23618928,23688656,21129252,6525638,33957866,19416711,26957250,18968710,7230873,12299406,2843382,21463293,,,,,237466180,,,,,,,788.1502514
2015-12-23T00:00:00,19018318,21522253,22294990,20190309,6245410,31836739,18689931,25328781,18451786,6794807,10421692,2735403,14898122,,,,,218428541,,,,,,,724.9643276
