IsoDatetime,EA,EM,NE,NO,NT,NW,SC,SE,SO,SW,WM,WN,WS,,EA avg,EA mmscfd,,Total,max(total),,min(total),,avg(total,
2015-11-08T00:00:00,89281166,126460020,81061853,72425091,117771640,153607715,120621996,113849976,77266196,63044690,104278170,13171687,38950826,,99194528.17,329.226639,,1171791026,3442548895,11425.81978,245508924,814.8441188,1202678999,3991.691597
2015-11-09T00:00:00,101212266,140741090,86452803,68785523,131681400,163208490,127275408,125500005,85289705,72350735,119206522,13938752,45210310,,,,,1280853009,,,,,,
2015-11-10T00:00:00,79600982,103059107,60804601,50728667,115151737,118952481,103623676,111349062,74673627,62621280,89604328,10417935,39984952,,,,,1020572435,,,,,,
2015-11-11T00:00:00,82528044,110524168,65115496,56981565,118570820,125805236,111758963,113941254,75714093,63090622,95910329,10748009,40320266,,,,,1071008865,,,,,,
2015-11-12T00:00:00,89858043,123515751,75692516,69242405,121317446,149254833,129345573,115766649,80593797,72656248,111665607,12617060,45575414,,,,,1197101342,,,,,,
2015-11-13T00:00:00,120954371,162893919,106418110,89902213,163347519,196147265,159455808,154161792,103773948,88271456,141171390,16887279,53456106,,,,,1556841176,,,,,,
2015-11-14T00:00:00,126085451,160229077,101797777,86866547,161681331,184923142,147101648,165823588,104507882,84950070,133257651,15449011,49757665,,,,,1522430840,,,,,,
2015-11-15T00:00:00,89265621,116123384,73391657,62134031,123605794,137498444,127736822,122528788,80192999,67521980,99186554,11593741,41337434,,,,,1152117249,,,,,,
2015-11-16T00:00:00,98741203,136629615,88704050,77783333,132932105,166580228,152657239,126429853,85658371,74155617,118849110,14094719,45873112,,,,,1319088555,,,,,,
2015-11-17T00:00:00,102348740,152033597,96206900,88374841,134726675,178216859,160989700,128349687,87693629,74741661,127599123,15494651,45296000,,,,,1392072063,,,,,,
2015-11-18T00:00:00,106324304,155253945,98832351,89301458,140966578,178567445,152398408,135552359,92057759,77099101,130199775,15023319,47542387,,,,,1419119189,,,,,,
2015-11-19T00:00:00,119601805,171733449,103885805,87796510,155401382,191779331,148741588,148520837,98137609,81179620,141058211,16470236,49711480,,,,,1514017863,,,,,,
2015-11-20T00:00:00,141569575,195306594,121703874,99433404,184365389,229520678,167930657,182820168,121262278,98522283,163637039,19575660,57953089,,,,,1783600688,,,,,,
2015-11-21T00:00:00,192514594,229228520,139311147,114906293,239167244,254427786,182372053,253150715,157504907,119366233,192718132,20915556,67374493,,,,,2162957673,,,,,,
2015-11-22T00:00:00,189253342,233383555,138408134,112774302,247501374,247217583,173404076,260405738,163750797,119159703,191048650,20318003,66184039,,,,,2162809296,,,,,,
2015-11-23T00:00:00,189525237,244816759,144685354,116069326,245978940,272460560,179687180,249601248,164507930,129951138,211912600,22832974,74935785,,,,,2246965031,,,,,,
